game,model,condition,metric,value
green_porter,gemini_2_0_flash,few_players_high_demand_volatility,cooperation,0.6199999999999999
green_porter,gemini_2_0_flash,few_players_high_demand_volatility,coordination,1.0
green_porter,gemini_2_0_flash,few_players_high_demand_volatility,judgment,0.5625
green_porter,gemini_2_0_flash,few_players,cooperation,0.76
green_porter,gemini_2_0_flash,few_players,coordination,1.0
green_porter,gemini_2_0_flash,few_players,judgment,0.8181818181818181
green_porter,random_agent,more_players,cooperation,0.36000000000000004
green_porter,random_agent,more_players,coordination,0.0
green_porter,random_agent,more_players,judgment,0.33333333333333337
green_porter,random_agent,few_players_high_demand_volatility,cooperation,0.33999999999999997
green_porter,random_agent,few_players_high_demand_volatility,coordination,0.0
green_porter,random_agent,few_players_high_demand_volatility,judgment,0.25
green_porter,random_agent,few_players,cooperation,0.36
green_porter,random_agent,few_players,coordination,0.0
green_porter,random_agent,few_players,judgment,0.375
green_porter,gemini_2_5_flash_lite_thinking_medium,more_players,cooperation,0.76
green_porter,gemini_2_5_flash_lite_thinking_medium,more_players,coordination,0.9428571428571428
green_porter,gemini_2_5_flash_lite_thinking_medium,more_players,judgment,0.8181818181818181
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players_high_demand_volatility,cooperation,0.6199999999999999
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players_high_demand_volatility,coordination,0.9314285714285713
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players_high_demand_volatility,judgment,0.5625
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players,cooperation,0.76
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players,coordination,1.0
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players,judgment,0.8181818181818181
