game,model,condition,metric,value
salop,gemini_2_5_flash_lite_thinking_medium,few_players,market_share,5.531999999999999
spulber,gemini_2_0_flash_lite,few_players_wide_cost_range,win_rate,0.4
spulber,gemini_2_0_flash_lite,few_players_wide_cost_range,average_profit,54.0
spulber,gemini_2_0_flash_lite,few_players_wide_cost_range,profit_volatility,80.49844718999243
spulber,gemini_2_0_flash_lite,few_players_wide_cost_range,market_capture_rate,0.3
spulber,gemini_2_0_flash_lite,more_players,win_rate,0.6
spulber,gemini_2_0_flash_lite,more_players,average_profit,27.483979999999995
spulber,gemini_2_0_flash_lite,more_players,profit_volatility,40.54395896063925
spulber,gemini_2_0_flash_lite,more_players,market_capture_rate,0.5
spulber,gemini_2_0_flash_lite,few_players,win_rate,0.8
spulber,gemini_2_0_flash_lite,few_players,average_profit,27.3
spulber,gemini_2_0_flash_lite,few_players,profit_volatility,40.69643719049618
spulber,gemini_2_0_flash_lite,few_players,market_capture_rate,0.5
spulber,gemini_2_0_flash,few_players_wide_cost_range,win_rate,0.4
spulber,gemini_2_0_flash,few_players_wide_cost_range,average_profit,34.421980000000005
spulber,gemini_2_0_flash,few_players_wide_cost_range,profit_volatility,76.4566850909847
spulber,gemini_2_0_flash,few_players_wide_cost_range,market_capture_rate,0.4
spulber,gemini_2_0_flash,more_players,win_rate,0.6
spulber,gemini_2_0_flash,more_players,average_profit,0.5519399999999882
spulber,gemini_2_0_flash,more_players,profit_volatility,0.5038499806489916
spulber,gemini_2_0_flash,more_players,market_capture_rate,0.6
spulber,gemini_2_0_flash,few_players,win_rate,0.6
spulber,gemini_2_0_flash,few_players,average_profit,49.19400000000002
spulber,gemini_2_0_flash,few_players,profit_volatility,44.90777248984858
spulber,gemini_2_0_flash,few_players,market_capture_rate,0.6
spulber,random_agent,few_players_wide_cost_range,win_rate,0.8
spulber,random_agent,few_players_wide_cost_range,average_profit,0.0
spulber,random_agent,few_players_wide_cost_range,profit_volatility,0.0
spulber,random_agent,few_players_wide_cost_range,market_capture_rate,0.0
spulber,random_agent,more_players,win_rate,0.0
spulber,random_agent,more_players,average_profit,0.0
spulber,random_agent,more_players,profit_volatility,0.0
spulber,random_agent,more_players,market_capture_rate,0.0
spulber,random_agent,few_players,win_rate,0.4
spulber,random_agent,few_players,average_profit,0.0
spulber,random_agent,few_players,profit_volatility,0.0
spulber,random_agent,few_players,market_capture_rate,0.0
spulber,gemini_2_5_flash_lite_thinking_medium,few_players_wide_cost_range,win_rate,0.4
spulber,gemini_2_5_flash_lite_thinking_medium,few_players_wide_cost_range,average_profit,153.96877999999998
spulber,gemini_2_5_flash_lite_thinking_medium,few_players_wide_cost_range,profit_volatility,344.28465849271004
spulber,gemini_2_5_flash_lite_thinking_medium,few_players_wide_cost_range,market_capture_rate,0.2
spulber,gemini_2_5_flash_lite_thinking_medium,more_players,win_rate,0.0
spulber,gemini_2_5_flash_lite_thinking_medium,more_players,average_profit,0.0
spulber,gemini_2_5_flash_lite_thinking_medium,more_players,profit_volatility,0.0
spulber,gemini_2_5_flash_lite_thinking_medium,more_players,market_capture_rate,0.0
spulber,gemini_2_5_flash_lite_thinking_medium,few_players,win_rate,0.4
spulber,gemini_2_5_flash_lite_thinking_medium,few_players,average_profit,38.91550000000001
spulber,gemini_2_5_flash_lite_thinking_medium,few_players,profit_volatility,68.40077266559202
spulber,gemini_2_5_flash_lite_thinking_medium,few_players,market_capture_rate,0.4
athey_bagwell,gemini_2_0_flash_lite,more_players,win_rate,0.2
athey_bagwell,gemini_2_0_flash_lite,more_players,average_profit,1768.3763640094235
athey_bagwell,gemini_2_0_flash_lite,more_players,profit_volatility,1724.3306485788437
athey_bagwell,gemini_2_0_flash_lite,more_players,hhi,4770.0
athey_bagwell,gemini_2_0_flash_lite,few_players,win_rate,0.2
athey_bagwell,gemini_2_0_flash_lite,few_players,average_profit,2682.638229153971
athey_bagwell,gemini_2_0_flash_lite,few_players,profit_volatility,2398.635407295516
athey_bagwell,gemini_2_0_flash_lite,few_players,hhi,6533.333333333333
athey_bagwell,gemini_2_0_flash_lite,few_players_low_persistence,win_rate,0.6
athey_bagwell,gemini_2_0_flash_lite,few_players_low_persistence,average_profit,3933.585635926138
athey_bagwell,gemini_2_0_flash_lite,few_players_low_persistence,profit_volatility,1009.3754805010151
athey_bagwell,gemini_2_0_flash_lite,few_players_low_persistence,hhi,6833.333333333333
athey_bagwell,gemini_2_0_flash,more_players,win_rate,0.2
athey_bagwell,gemini_2_0_flash,more_players,average_profit,1804.2120936773924
athey_bagwell,gemini_2_0_flash,more_players,profit_volatility,1729.3997772105186
athey_bagwell,gemini_2_0_flash,more_players,hhi,4736.666666666667
athey_bagwell,gemini_2_0_flash,few_players,win_rate,0.2
athey_bagwell,gemini_2_0_flash,few_players,average_profit,2682.638229153971
athey_bagwell,gemini_2_0_flash,few_players,profit_volatility,2398.635407295516
athey_bagwell,gemini_2_0_flash,few_players,hhi,6533.333333333333
athey_bagwell,gemini_2_0_flash,few_players_low_persistence,win_rate,0.6
athey_bagwell,gemini_2_0_flash,few_players_low_persistence,average_profit,3933.585635926138
athey_bagwell,gemini_2_0_flash,few_players_low_persistence,profit_volatility,1009.3754805010151
athey_bagwell,gemini_2_0_flash,few_players_low_persistence,hhi,6833.333333333333
athey_bagwell,random_agent,more_players,win_rate,0.2
athey_bagwell,random_agent,more_players,average_profit,1918.6114033429847
athey_bagwell,random_agent,more_players,profit_volatility,1693.8422428450665
athey_bagwell,random_agent,more_players,hhi,4620.0
athey_bagwell,random_agent,few_players,win_rate,0.2
athey_bagwell,random_agent,few_players,average_profit,2570.401031212207
athey_bagwell,random_agent,few_players,profit_volatility,1842.8042438348318
athey_bagwell,random_agent,few_players,hhi,6566.666666666666
athey_bagwell,random_agent,few_players_low_persistence,win_rate,0.2
athey_bagwell,random_agent,few_players_low_persistence,average_profit,3183.1995938810214
athey_bagwell,random_agent,few_players_low_persistence,profit_volatility,928.0846876673145
athey_bagwell,random_agent,few_players_low_persistence,hhi,6733.333333333334
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,more_players,win_rate,0.2
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,more_players,average_profit,2667.611426676253
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,more_players,profit_volatility,1295.926446621446
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,more_players,hhi,3846.6666666666665
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players,win_rate,0.4
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players,average_profit,3872.6603824341137
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players,profit_volatility,2030.66049978793
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players,hhi,5666.666666666666
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players_low_persistence,win_rate,1.0
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players_low_persistence,average_profit,4910.1663811055005
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players_low_persistence,profit_volatility,706.4693803367322
athey_bagwell,gemini_2_5_flash_lite_thinking_medium,few_players_low_persistence,hhi,6200.0
green_porter,gemini_2_0_flash_lite,more_players,win_rate,1.0
green_porter,gemini_2_0_flash_lite,more_players,average_profit,2712.4954490405457
green_porter,gemini_2_0_flash_lite,more_players,profit_volatility,1417.9537829833105
green_porter,gemini_2_0_flash_lite,more_players,reversion_frequency,0.06666666666666667
green_porter,gemini_2_0_flash_lite,few_players_high_demand_volatility,win_rate,0.8
green_porter,gemini_2_0_flash_lite,few_players_high_demand_volatility,average_profit,6440.0466843544955
green_porter,gemini_2_0_flash_lite,few_players_high_demand_volatility,profit_volatility,767.6702875119587
green_porter,gemini_2_0_flash_lite,few_players_high_demand_volatility,reversion_frequency,0.15555555555555559
green_porter,gemini_2_0_flash_lite,few_players,win_rate,0.8
green_porter,gemini_2_0_flash_lite,few_players,average_profit,6388.044602247877
green_porter,gemini_2_0_flash_lite,few_players,profit_volatility,509.68341233001956
green_porter,gemini_2_0_flash_lite,few_players,reversion_frequency,0.08888888888888888
green_porter,gemini_2_0_flash,more_players,win_rate,1.0
green_porter,gemini_2_0_flash,more_players,average_profit,2669.125027493671
green_porter,gemini_2_0_flash,more_players,profit_volatility,1386.2367476019515
green_porter,gemini_2_0_flash,more_players,reversion_frequency,0.06666666666666667
green_porter,gemini_2_0_flash,few_players_high_demand_volatility,win_rate,1.0
green_porter,gemini_2_0_flash,few_players_high_demand_volatility,average_profit,6358.6724510493395
green_porter,gemini_2_0_flash,few_players_high_demand_volatility,profit_volatility,860.4284102827626
green_porter,gemini_2_0_flash,few_players_high_demand_volatility,reversion_frequency,0.15555555555555559
green_porter,gemini_2_0_flash,few_players,win_rate,1.0
green_porter,gemini_2_0_flash,few_players,average_profit,6402.347752924842
green_porter,gemini_2_0_flash,few_players,profit_volatility,556.2009387830053
green_porter,gemini_2_0_flash,few_players,reversion_frequency,0.08888888888888888
green_porter,random_agent,more_players,win_rate,0.0
green_porter,random_agent,more_players,average_profit,-5201.592682138309
green_porter,random_agent,more_players,profit_volatility,1821.8831693300538
green_porter,random_agent,more_players,reversion_frequency,0.2666666666666667
green_porter,random_agent,few_players_high_demand_volatility,win_rate,0.0
green_porter,random_agent,few_players_high_demand_volatility,average_profit,-2795.4533014256644
green_porter,random_agent,few_players_high_demand_volatility,profit_volatility,2225.814708638495
green_porter,random_agent,few_players_high_demand_volatility,reversion_frequency,0.2888888888888889
green_porter,random_agent,few_players,win_rate,0.0
green_porter,random_agent,few_players,average_profit,-1732.8908084876355
green_porter,random_agent,few_players,profit_volatility,3431.7686665737706
green_porter,random_agent,few_players,reversion_frequency,0.26666666666666666
green_porter,gemini_2_5_flash_lite_thinking_medium,more_players,win_rate,1.0
green_porter,gemini_2_5_flash_lite_thinking_medium,more_players,average_profit,2683.7553956326055
green_porter,gemini_2_5_flash_lite_thinking_medium,more_players,profit_volatility,986.9797210419299
green_porter,gemini_2_5_flash_lite_thinking_medium,more_players,reversion_frequency,0.08888888888888888
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players_high_demand_volatility,win_rate,0.6
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players_high_demand_volatility,average_profit,6424.8991454270745
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players_high_demand_volatility,profit_volatility,992.0886683805883
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players_high_demand_volatility,reversion_frequency,0.15555555555555559
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players,win_rate,0.6
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players,average_profit,6345.449045586167
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players,profit_volatility,595.2961283004317
green_porter,gemini_2_5_flash_lite_thinking_medium,few_players,reversion_frequency,0.08888888888888888
